Date,High,Low,Open,Close,Volume,Adj Close,Status,Middle,Height
2018-05-24,8518.2998046875,8400.0,8500.099609375,8410.75,292331.0,8263.6259765625,Decrease,8455.4248046875,89.349609375
2018-05-25,8574.0,8395.150390625,8412.0,8548.150390625,519151.0,8398.6220703125,Increase,8480.0751953125,136.150390625
2018-05-28,8785.0,8555.099609375,8560.0,8709.2998046875,446264.0,8556.953125,Increase,8634.64990234375,149.2998046875
2018-05-29,8840.0,8680.0,8718.0,8714.900390625,665121.0,8562.4560546875,Decrease,8716.4501953125,3.099609375
2018-05-30,8669.0,8572.849609375,8669.0,8588.2001953125,508262.0,8437.9716796875,Decrease,8628.60009765625,80.7998046875
2018-05-31,8639.099609375,8515.900390625,8639.0,8537.2001953125,679959.0,8387.8642578125,Decrease,8588.10009765625,101.7998046875
2018-06-01,8848.400390625,8590.0498046875,8610.0,8808.849609375,1002010.0,8654.76171875,Increase,8709.4248046875,198.849609375
2018-06-04,8840.0,8726.0498046875,8840.0,8749.849609375,380690.0,8596.79296875,Decrease,8794.9248046875,90.150390625
2018-06-05,8830.0,8680.0,8750.0,8810.400390625,400886.0,8656.28515625,Increase,8780.2001953125,60.400390625
2018-06-06,8870.0,8810.0,8829.0,8842.349609375,328784.0,8687.6748046875,Increase,8835.6748046875,13.349609375
2018-06-07,8934.7998046875,8865.0,8874.0,8911.25,267961.0,8755.3701171875,Increase,8892.625,37.25
2018-06-08,8950.0,8871.0,8894.0,8932.4501953125,287823.0,8776.2001953125,Increase,8913.22509765625,38.4501953125
2018-06-11,9046.0,8921.5,8960.0,9022.650390625,337828.0,8864.822265625,Increase,8991.3251953125,62.650390625
2018-06-12,9065.0,8955.0,9039.0,9016.75,343452.0,8859.025390625,Decrease,9027.875,22.25
2018-06-13,9094.9501953125,8943.0,9030.0,8967.349609375,369407.0,8810.4892578125,Decrease,8998.6748046875,62.650390625
2018-06-14,9019.9501953125,8908.0,8932.0498046875,8958.0,269078.0,8801.302734375,Increase,8945.02490234375,25.9501953125
